Timestamp,System power generated,Wind speed,Wind direction,Pressure,Air temperature,windfarm power
"Jan 1, 12:00 am",1766.64,9.926,128,1.00048,18.263,688.92
"Jan 1, 01:00 am",1433.83,9.273,135,0.99979,18.363,625.23
"Jan 1, 02:00 am",1167.23,8.66,142,0.999592,18.663,488.56
"Jan 1, 03:00 am",1524.59,9.461,148,0.998309,18.763,621.87
"Jan 1, 04:00 am",1384.28,9.184,150,0.998507,18.963,515.62
"Jan 1, 05:00 am",1293.93,8.996,149,0.998507,19.063,481.96
"Jan 1, 06:00 am",1301.63,9.016,151,0.998211,19.113,474.64
"Jan 1, 07:00 am",1308.13,9.036,154,0.997815,19.163,561.57
"Jan 1, 08:00 am",792.081,7.612,154,1.00028,19.363,323.24
"Jan 1, 09:00 am",399.537,6.129,162,1.00295,19.963,166.47
"Jan 1, 10:00 am",362.988,5.961,152,1.00048,20.763,131.27
"Jan 1, 11:00 am",951.359,8.117,141,1.00068,21.063,416.31
"Jan 1, 12:00 pm",1549.75,9.54,141,0.996926,21.063,661.12
"Jan 1, 01:00 pm",1835.22,10.094,136,1.00028,20.763,691.85
"Jan 1, 02:00 pm",1208.37,8.789,137,0.998801,20.663,452.59
"Jan 1, 03:00 pm",686.154,7.286,126,0.999986,20.663,257.08
"Jan 1, 04:00 pm",624.105,7.088,122,0.999591,20.563,239.87
"Jan 1, 05:00 pm",678.936,7.266,121,0.997715,20.363,272.92
"Jan 1, 06:00 pm",1187.51,8.739,116,0.996334,20.363,468.54
"Jan 1, 07:00 pm",1881.72,10.212,126,0.994952,20.363,721.26
"Jan 1, 08:00 pm",1685.91,9.797,132,0.998406,20.363,689.45
"Jan 1, 09:00 pm",1188.7,8.729,149,1.00048,20.263,441.2
"Jan 1, 10:00 pm",939.228,8.087,155,0.99821,20.263,360.07
"Jan 1, 11:00 pm",772.632,7.563,160,0.998703,20.263,300.79
"Jan 2, 12:00 am",1006.16,8.265,157,0.996432,20.163,398.93
"Jan 2, 01:00 am",1150.85,8.631,157,0.998999,19.863,486.6
"Jan 2, 02:00 am",1116.59,8.542,167,0.998802,19.663,419.81
"Jan 2, 03:00 am",647.342,7.158,176,0.997914,19.563,259.67
"Jan 2, 04:00 am",528.178,6.693,174,0.994952,19.463,215.18
"Jan 2, 05:00 am",602.899,7.009,175,0.996335,19.263,219.28
"Jan 2, 06:00 am",591.48,6.96,162,0.996433,19.513,241.68
"Jan 2, 07:00 am",578.963,6.91,177,0.996432,19.763,216.32
"Jan 2, 08:00 am",387.965,6.09,177,0.995643,19.763,141.69
"Jan 2, 09:00 am",596.94,6.99,173,0.996926,20.263,260.21
"Jan 2, 10:00 am",501.324,6.584,175,0.997518,21.063,219.2
"Jan 2, 11:00 am",184.65,4.884,166,1.00048,22.263,78.42
"Jan 2, 12:00 pm",185.902,4.904,135,0.995937,22.663,71.45
"Jan 2, 01:00 pm",544.988,6.782,120,0.994655,21.563,200.45
"Jan 2, 02:00 pm",993.34,8.245,126,0.993964,20.863,411.98
"Jan 2, 03:00 pm",1454.04,9.352,132,0.996432,21.063,574.65
"Jan 2, 04:00 pm",2090.64,10.697,140,0.994457,21.463,773.04
